fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
10591;59.2400000003306;9.53285598754883;Celtis;australis;10.3;9;Feuillu;2;941.330857528697;537.504439238494;2.05941931127616;0.841516869628172
16180;24.9600000008568;9.53313446044922;Celtis;australis;7.39;9;Feuillu;2;1394.28365384615;737.749406755913;2.07852564102564;0.815664197250234
10657;104.19999999979;9.53640937805176;Celtis;australis;9.52;9;Feuillu;2;1945.94874759152;799.838206708558;1.38381502890173;0.586199750002696
7816;64.9199999996415;9.53713893890381;Celtis;australis;10.06;9;Feuillu;2;1657.69562538509;862.413116928734;1.47443006777572;0.678282438083053
7937;29.4799999996368;9.5381555557251;Celtis;australis;9.8;9;Feuillu;2;1204.3473541384;565.717705656275;1.72184531886024;0.738529003284551
5774;29.5200000001303;9.54060363769531;Celtis;australis;10.4;9;Feuillu;2;1502.36449864499;678.937280281008;1.44579945799458;0.60746483088201
8507;67.6800000013598;9.5410041809082;Celtis;australis;9.76;9;Feuillu;2;1664.91033254157;787.013047221306;1.45190023752969;0.600427361281713
7032;70.760000000298;9.54145240783691;Celtis;australis;6.73;9;Feuillu;2;1740.60554612337;759.483911711154;1.50764006791171;0.689334570450943
20265;46.5600000006938;9.54175567626953;Celtis;australis;10.0;9;Feuillu;2;1776.75773195876;775.213771470823;1.4553264604811;0.633186573662277
13099;34.1999999994179;9.54186248779297;Celtis;australis;9.38;8;Conifère;1;1408.79064327485;820.429472132042;2.11929824561404;0.979217720324801
10587;48.9600000001816;9.54311752319336;Celtis;australis;10.31;9;Feuillu;2;813.121732026144;440.580602210377;2.3733660130719;0.95073575397035
12863;83.3200000010618;9.54365539550781;Celtis;australis;7.67;8;Conifère;1;1658.36551392891;665.314749621074;1.40393852065322;0.59265748407871
18497;51.519999999525;9.54550361633301;Celtis;australis;9.8;9;Feuillu;2;1551.56565656566;662.770458612671;1.42501942501943;0.604640417593549
955;49.839999999376;9.54565811157227;Celtis;australis;11.32;9;Feuillu;2;1426.31621187801;866.205605160422;1.55939004815409;0.640466032442903
2309;92.7599999995763;9.54802894592285;Celtis;australis;10.12;9;Feuillu;2;1931.98792062123;779.744324830922;1.28602243313201;0.524370334770024
3388;56.6800000007311;9.55036544799805;Celtis;australis;10.17;9;Feuillu;2;1562.83486238532;732.658814284977;1.47988708539167;0.639599370644225
10383;64.2400000001677;9.55288314819336;Celtis;australis;8.99;9;Feuillu;2;1978.13511830635;796.549290317265;1.39601494396015;0.636251522415992
